epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,5989.86,0.71056,0.3996,0.86402,0.97917,0.97248,0.98554,0.79131,0.73135,0.38868,0.80405,0.0006997,0.0006997,0.0006997
93,6056.39,0.70278,0.38665,0.86016,0.98882,0.97248,0.99386,0.79311,0.76015,0.38913,0.80797,0.0006964,0.0006964,0.0006964
94,6122.35,0.71653,0.39663,0.86536,0.98776,0.97706,0.99293,0.7895,0.76138,0.39001,0.80721,0.0006931,0.0006931,0.0006931
95,6185.43,0.7033,0.39343,0.86212,0.98373,0.9656,0.98989,0.79117,0.73202,0.38553,0.80593,0.0006898,0.0006898,0.0006898
96,6247.98,0.69863,0.39002,0.85498,0.97852,0.97248,0.98781,0.79119,0.74896,0.37744,0.80655,0.0006865,0.0006865,0.0006865
97,6313.14,0.70959,0.40094,0.86382,0.98775,0.97936,0.99432,0.79104,0.75298,0.37907,0.80712,0.0006832,0.0006832,0.0006832
98,6378.43,0.71509,0.40017,0.86419,0.9861,0.97632,0.98704,0.77985,0.76487,0.37483,0.80719,0.0006799,0.0006799,0.0006799
99,6442.34,0.69878,0.39017,0.86162,0.99298,0.97706,0.99422,0.79245,0.72911,0.36099,0.80325,0.0006766,0.0006766,0.0006766
100,6506.72,0.68974,0.38551,0.85963,0.98279,0.97477,0.98792,0.7656,0.80411,0.39105,0.81306,0.0006733,0.0006733,0.0006733
101,6571.89,0.67252,0.37905,0.85711,0.97922,0.97269,0.99092,0.79294,0.74649,0.37755,0.80465,0.00067,0.00067,0.00067
102,6635.63,0.69993,0.3896,0.85932,0.9877,0.97477,0.98793,0.795,0.75556,0.37082,0.80616,0.0006667,0.0006667,0.0006667
103,6699.63,0.69469,0.38604,0.85876,0.98387,0.97939,0.99371,0.79135,0.71168,0.37161,0.80523,0.0006634,0.0006634,0.0006634
104,6763.96,0.70449,0.39331,0.85853,0.99071,0.97888,0.99262,0.76943,0.78134,0.3714,0.8133,0.0006601,0.0006601,0.0006601
105,6828.29,0.68665,0.38306,0.85601,0.99315,0.97018,0.99397,0.79293,0.72701,0.36159,0.80448,0.0006568,0.0006568,0.0006568
106,6891.79,0.69137,0.38733,0.85885,0.98387,0.97912,0.99374,0.79188,0.74458,0.36848,0.80693,0.0006535,0.0006535,0.0006535
107,6954.6,0.68747,0.387,0.86384,0.99302,0.97958,0.9943,0.7826,0.74108,0.36584,0.80729,0.0006502,0.0006502,0.0006502
108,7019,0.69423,0.3913,0.86026,0.98694,0.98165,0.99352,0.79235,0.76106,0.37161,0.80805,0.0006469,0.0006469,0.0006469
109,7081.13,0.68172,0.37406,0.85452,0.97504,0.98537,0.99388,0.81708,0.70896,0.36069,0.80286,0.0006436,0.0006436,0.0006436
110,7145.39,0.67766,0.37765,0.85544,0.98623,0.98538,0.99452,0.80554,0.71762,0.36717,0.80317,0.0006403,0.0006403,0.0006403
111,7212.08,0.68956,0.38512,0.85621,0.98235,0.97936,0.99385,0.79031,0.74865,0.37652,0.80789,0.000637,0.000637,0.000637
112,7275.38,0.68069,0.37521,0.86117,0.993,0.97665,0.99435,0.79963,0.74496,0.36695,0.80714,0.0006337,0.0006337,0.0006337
113,7339.48,0.68555,0.38461,0.85685,0.99308,0.98701,0.99464,0.80798,0.70805,0.35658,0.80412,0.0006304,0.0006304,0.0006304
114,7405.94,0.67541,0.37893,0.85684,0.98558,0.97936,0.99284,0.80719,0.71194,0.35611,0.80351,0.0006271,0.0006271,0.0006271
115,7469.87,0.68728,0.3818,0.86223,0.99303,0.98048,0.9943,0.79421,0.73953,0.36003,0.80601,0.0006238,0.0006238,0.0006238
116,7537.2,0.69021,0.38021,0.85581,0.9924,0.97936,0.99286,0.793,0.73333,0.35921,0.8052,0.0006205,0.0006205,0.0006205
117,7601.16,0.67446,0.37131,0.85145,0.9949,0.97248,0.9917,0.79746,0.72116,0.36567,0.8023,0.0006172,0.0006172,0.0006172
118,7666.48,0.6647,0.37614,0.85208,0.99282,0.97936,0.99424,0.79234,0.72206,0.36693,0.80252,0.0006139,0.0006139,0.0006139
119,7731.51,0.66495,0.37234,0.85266,0.98833,0.9709,0.99269,0.78554,0.74344,0.37236,0.80591,0.0006106,0.0006106,0.0006106
120,7796.69,0.66885,0.37321,0.8613,0.99064,0.97149,0.99069,0.78257,0.77322,0.37862,0.80817,0.0006073,0.0006073,0.0006073
121,7862.31,0.69025,0.38324,0.85176,0.98762,0.97706,0.98806,0.79917,0.73226,0.36545,0.80259,0.000604,0.000604,0.000604
122,7926.76,0.67399,0.38461,0.85255,0.9907,0.97704,0.99254,0.79364,0.7174,0.36148,0.80282,0.0006007,0.0006007,0.0006007
123,7993.96,0.69323,0.38717,0.85897,0.99074,0.97477,0.98936,0.80219,0.71379,0.36726,0.8024,0.0005974,0.0005974,0.0005974
124,8060.58,0.67314,0.37585,0.8574,0.99072,0.97898,0.99278,0.80824,0.72276,0.35596,0.80624,0.0005941,0.0005941,0.0005941
125,8123.9,0.68205,0.3845,0.85925,0.99302,0.97952,0.99352,0.80288,0.70055,0.35643,0.80139,0.0005908,0.0005908,0.0005908
126,8188.3,0.68564,0.38419,0.86095,0.99291,0.97018,0.98626,0.78441,0.72623,0.3619,0.80633,0.0005875,0.0005875,0.0005875
127,8250.38,0.6836,0.38105,0.85733,0.99531,0.97419,0.99135,0.80702,0.71452,0.35977,0.80763,0.0005842,0.0005842,0.0005842
128,8315.84,0.68709,0.38445,0.86048,0.99642,0.96789,0.99242,0.80708,0.68622,0.3571,0.80285,0.0005809,0.0005809,0.0005809
129,8381.24,0.68349,0.37306,0.85803,0.99511,0.97018,0.98979,0.80866,0.69523,0.35595,0.80235,0.0005776,0.0005776,0.0005776
130,8443.57,0.65989,0.36669,0.85162,0.99418,0.97706,0.99409,0.79495,0.74789,0.36758,0.81018,0.0005743,0.0005743,0.0005743
131,8510.45,0.67827,0.37722,0.85473,0.99164,0.97248,0.9914,0.79529,0.70911,0.3691,0.80299,0.000571,0.000571,0.000571
132,8575.23,0.68526,0.37561,0.86011,0.99065,0.97187,0.99321,0.804,0.70702,0.36037,0.80171,0.0005677,0.0005677,0.0005677
133,8640.93,0.666,0.36823,0.8548,0.99302,0.97891,0.99377,0.81488,0.70198,0.35544,0.80408,0.0005644,0.0005644,0.0005644
134,8704.41,0.67294,0.36955,0.85619,0.99405,0.97477,0.99321,0.79107,0.73006,0.36219,0.80509,0.0005611,0.0005611,0.0005611
135,8772.68,0.6735,0.37613,0.84899,0.99532,0.97647,0.99271,0.78083,0.78694,0.37217,0.81182,0.0005578,0.0005578,0.0005578
136,8840.03,0.66063,0.36,0.84467,0.9923,0.97018,0.99123,0.78051,0.7588,0.36444,0.80811,0.0005545,0.0005545,0.0005545
137,8908.87,0.66233,0.3676,0.84729,0.99008,0.97477,0.99286,0.79451,0.72161,0.36404,0.80272,0.0005512,0.0005512,0.0005512
138,8975.65,0.66097,0.36638,0.85443,0.99033,0.97936,0.99382,0.80542,0.72711,0.35456,0.80717,0.0005479,0.0005479,0.0005479
139,9042.64,0.65712,0.36162,0.8536,0.98393,0.98285,0.99423,0.80716,0.73422,0.35852,0.80364,0.0005446,0.0005446,0.0005446
